"species"	"common_name"	"code"	"reference"
"Arabidopsis thaliana"	"thale cress"	"ath"	"ARAPORT11"
"Malus domestica"	"apple"	"mdo"	"Golden Delicious GDDH13 v1.1"
"Prunus amygdalus, Prunus dulcis"	"almond"	"pdul"	"Texas v3.0, F1"
"Prunus armeniaca"	"apricot"	"parm"	"Marouch n14 v1.0"
"Prunus avium"	"wild cherry"	"pavi"	"Tieton v2.0"
"Prunus cerasifera"	"cherry plum"	"pcer"	"Montmorency v1.0.a2"
"Prunus persica"	"peach"	"ppe"	"Lovell v2.0.a1"
"Prunus sibirica"	"siberian apricot"	"psib"	"F106 v1.0"
"Pyrus communis"	"pear"	"pcox"	"d'Anjou v2.3.a1, hap 1"
"Solanum lycopersicum"	"tomato"	"sly"	"Heinz 1706 ITAG 4.0"
"Solanum tuberosum"	"potato"	"stu"	"UniTato"
"Vitis vinifera"	"grapevine"	"vvi"	"T2T (v5)"
